YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"RIO NEGRO - Choele Choel",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"RIO NEGRO - Choele Choel",1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,"RIO NEGRO - Choele Choel",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"RIO NEGRO - Choele Choel",1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,"RIO NEGRO - Choele Choel",1903/01/05,,,,,,,,,,,,,,,,,,,,,,,
1903,1,6,"RIO NEGRO - Choele Choel",1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,"RIO NEGRO - Choele Choel",1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,"RIO NEGRO - Choele Choel",1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,"RIO NEGRO - Choele Choel",1903/01/09,,,,,,,,,,,,,,,,,,,,,,,
1903,1,10,"RIO NEGRO - Choele Choel",1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,"RIO NEGRO - Choele Choel",1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,"RIO NEGRO - Choele Choel",1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,"RIO NEGRO - Choele Choel",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"RIO NEGRO - Choele Choel",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"RIO NEGRO - Choele Choel",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"RIO NEGRO - Choele Choel",1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,"RIO NEGRO - Choele Choel",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"RIO NEGRO - Choele Choel",1903/01/18,,,,,,,,,,,,,,,,,,,,,,,
1903,1,19,"RIO NEGRO - Choele Choel",1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,"RIO NEGRO - Choele Choel",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"RIO NEGRO - Choele Choel",1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,"RIO NEGRO - Choele Choel",1903/01/22,,,,,,,,,,,,,,,,,,,,,,,
1903,1,23,"RIO NEGRO - Choele Choel",1903/01/23,,,,,,,,,,,,,,,,,,,,,,,
1903,1,24,"RIO NEGRO - Choele Choel",1903/01/24,,,,,,,,,,,,,,,,,,,,,,,
