,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Rioja,1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,Rioja,1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,Rioja,1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,Rioja,1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,Rioja,1903/01/05,,,,,,,,,,,,,,,,,,,,,,,
1903,1,6,Rioja,1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,Rioja,1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,Rioja,1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,Rioja,1903/01/09,,,,,,,,,,,,,,,,,,,,,,,
1903,1,10,Rioja,1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,Rioja,1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,Rioja,1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,Rioja,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Rioja,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Rioja,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Rioja,1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,Rioja,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Rioja,1903/01/18,,,,,,,,,,,,,,,,,,,,,,,
1903,1,19,Rioja,1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,Rioja,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Rioja,1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,Rioja,1903/01/22,,,,,,,,,,,,,,,,,,,,,,,
1903,1,23,Rioja,1903/01/23,,,,,,,,,,,,,,,,,,,,,,,
1903,1,24,Rioja,1903/01/24,,,,,,,,,,,,,,,,,,,,,,,
1903,1,25,Rioja,1903/01/25,,,,,,,,,,,,,,,,,,,,,,,
1903,1,26,Rioja,1903/01/26,,,,,,,,,,,,,,,,,,,,,,,
1903,1,27,Rioja,1903/01/27,,,,,,,,,,,,,,,,,,,,,,,
1903,1,28,Rioja,1903/01/28,,,,,,,,,,,,,,,,,,,,,,,
1903,1,29,Rioja,1903/01/29,,,,,,,,,,,,,,,,,,,,,,,
1903,1,30,Rioja,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Rioja,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Rioja,1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,Rioja,1903/02/02,,,,,,,,,,,,,,,,,,,,,,,
1903,2,3,Rioja,1903/02/03,,,,,,,,,,,,,,,,,,,,,,,
1903,2,4,Rioja,1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,Rioja,1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,Rioja,1903/02/06,,,,,,,,,,,,,,,,,,,,,,,
1903,2,7,Rioja,1903/02/07,,,,,,,,,,,,,,,,,,,,,,,
1903,2,8,Rioja,1903/02/08,,,,,,,,,,,,,,,,,,,,,,,
1903,2,9,Rioja,1903/02/09,,,,,,,,,,,,,,,,,,,,,,,
1903,2,10,Rioja,1903/02/10,,,,,,,,,,,,,,,,,,,,,,,
1903,2,11,Rioja,1903/02/11,,,,,,,,,,,,,,,,,,,,,,,
1903,2,12,Rioja,1903/02/12,,,,,,,,,,,,,,,,,,,,,,,
1903,2,13,Rioja,1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,Rioja,1903/02/14,,,,,,,,,,,,,,,,,,,,,,,
1903,2,15,Rioja,1903/02/15,,,,,,,,,,,,,,,,,,,,,,,
1903,2,16,Rioja,1903/02/16,,,,,,,,,,,,,,,,,,,,,,,
1903,2,17,Rioja,1903/02/17,,,,,,,,,,,,,,,,,,,,,,,
1903,2,18,Rioja,1903/02/18,,,,,,,,,,,,,,,,,,,,,,,
1903,2,19,Rioja,1903/02/19,,,,,,,,,,,,,,,,,,,,,,,
1903,2,20,Rioja,1903/02/20,,,,,,,,,,,,,,,,,,,,,,,
1903,2,21,Rioja,1903/02/21,,,,,,,,,,,,,,,,,,,,,,,
1903,2,22,Rioja,1903/02/22,,,,,,,,,,,,,,,,,,,,,,,
1903,2,23,Rioja,1903/02/23,,,,,,,,,,,,,,,,,,,,,,,
1903,2,24,Rioja,1903/02/24,,,,,,,,,,,,,,,,,,,,,,,
1903,2,25,Rioja,1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
