,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Chilcas,1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,Chilcas,1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,Chilcas,1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,Chilcas,1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,Chilcas,1903/01/05,,,,,,,,,,,,,,,,,,,,,,,
1903,1,6,Chilcas,1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,Chilcas,1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,Chilcas,1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,Chilcas,1903/01/09,,,,,,,,,,,,,,,,,,,,,,,
1903,1,10,Chilcas,1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,Chilcas,1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,Chilcas,1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,Chilcas,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Chilcas,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Chilcas,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Chilcas,1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,Chilcas,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Chilcas,1903/01/18,,,,,,,,,,,,,,,,,,,,,,,
1903,1,19,Chilcas,1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,Chilcas,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Chilcas,1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,Chilcas,1903/01/22,,,,,,,,,,,,,,,,,,,,,,,
1903,1,23,Chilcas,1903/01/23,,,,,,,,,,,,,,,,,,,,,,,
1903,1,24,Chilcas,1903/01/24,,,,,,,,,,,,,,,,,,,,,,,
1903,1,25,Chilcas,1903/01/25,,,,,,,,,,,,,,,,,,,,,,,
1903,1,26,Chilcas,1903/01/26,,,,,,,,,,,,,,,,,,,,,,,
