YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Zárate,1902/02/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,22,Zárate,1902/02/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,23,Zárate,1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,Zárate,1902/02/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,25,Zárate,1902/02/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,26,Zárate,1902/02/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,27,Zárate,1902/02/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,28,Zárate,1902/02/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1,Zárate,1902/03/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,2,Zárate,1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,Zárate,1902/03/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,4,Zárate,1902/03/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,5,Zárate,1902/03/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,6,Zárate,1902/03/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,7,Zárate,1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,8,Zárate,1902/03/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,9,Zárate,1902/03/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,10,Zárate,1902/03/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,12,Zárate,1902/03/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,13,Zárate,1902/03/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,14,Zárate,1902/03/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,15,Zárate,1902/03/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,16,Zárate,1902/03/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,19,Zárate,1902/03/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,21,Zárate,1902/03/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,22,Zárate,1902/03/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,23,Zárate,1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,Zárate,1902/03/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,25,Zárate,1902/03/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,26,Zárate,1902/03/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,27,Zárate,1902/03/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,30,Zárate,1902/03/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,31,Zárate,1902/03/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,2,Zárate,1902/04/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,3,Zárate,1902/04/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,4,Zárate,1902/04/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,5,Zárate,1902/04/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,6,Zárate,1902/04/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,7,Zárate,1902/04/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,8,Zárate,1902/04/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,9,Zárate,1902/04/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,10,Zárate,1902/04/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,12,Zárate,1902/04/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,13,Zárate,1902/04/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,14,Zárate,1902/04/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,16,Zárate,1902/04/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,19,Zárate,1902/04/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,20,Zárate,1902/04/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,24,Zárate,1902/04/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,26,Zárate,1902/04/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,27,Zárate,1902/04/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,29,Zárate,1902/04/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,3,Zárate,1902/05/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,4,Zárate,1902/05/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,6,Zárate,1902/05/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,8,Zárate,1902/05/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,16,Zárate,1902/05/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,17,Zárate,1902/05/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,18,Zárate,1902/05/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,19,Zárate,1902/05/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,20,Zárate,1902/05/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,21,Zárate,1902/05/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,22,Zárate,1902/05/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,23,Zárate,1902/05/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,24,Zárate,1902/05/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,25,Zárate,1902/05/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,26,Zárate,1902/05/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,27,Zárate,1902/05/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,28,Zárate,1902/05/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,29,Zárate,1902/05/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,30,Zárate,1902/05/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,31,Zárate,1902/05/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,1,Zárate,1902/06/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,2,Zárate,1902/06/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,3,Zárate,1902/06/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,4,Zárate,1902/06/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,5,Zárate,1902/06/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,6,Zárate,1902/06/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,7,Zárate,1902/06/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,8,Zárate,1902/06/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,9,Zárate,1902/06/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,10,Zárate,1902/06/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,11,Zárate,1902/06/11,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,12,Zárate,1902/06/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,13,Zárate,1902/06/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,14,Zárate,1902/06/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,15,Zárate,1902/06/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,16,Zárate,1902/06/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,17,Zárate,1902/06/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,18,Zárate,1902/06/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,19,Zárate,1902/06/19,,,,,,,,,,,,,,,,,,,,,,,,
